	lat	lon	adm_id	harvest_year	crop_name	harvest_area	crop_area_percentage	awc	bulk_density	drainage_class	ssm	rsm	ndvi	tmin	tmax	tavg	prec	rad	et0	vpd	cwb	fpar	production
0	22.36983634	71.79307666	1409	2018	mustard	2.95	57.6	149.6	1.54	3	32.7	28.8	0.23	13.366922	37.00188231	25.2	16.5	12718.2	6.15	2.11	-14.25	0.32	10.91
1	22.39839524	71.80609877	3286	2019	wheat	2.24	38.5	148.8	1.17	1	9.5	71.2	0.22	16.04495416	30.59481832	23.3	6	16652	6.55	2.34	-26.75	0.33	7.24
2	22.39921951	71.79472825	2424	2022	mustard	2.69	17.5	175.4	1.11	5	20.1	109.7	0.22	17.05008261	31.78487243	24.4	12.9	21028.9	3.52	0.88	-4.7	0.29	10.36
3	22.3148052	71.77089019	1488	2018	cotton	1.85	89.4	139.1	1.32	1	5.1	101.8	0.47	16.09107908	25.94347824	21	18.4	18908.8	3.09	1.23	2.95	0.55	7.26
4	22.37575043	71.76517317	9279	2019	wheat	3.13	70.4	145.9	1.4	5	17.6	64.4	0.69	14.7244448	25.51749584	20.1	11.7	14338.2	3.04	2.14	-3.5	0.82	11.94
5	22.32818625	71.73932802	4257	2022	wheat	1.48	30.1	104.9	1.53	5	20.2	50.5	0.38	15.9822694	30.17830091	23.1	0.2	19530.5	4.28	2.03	-21.2	0.46	3.78
6	22.29466513	71.76117257	8359	2019	cotton	0.71	89	186.7	1.35	5	11.4	37.4	0.71	17.161217	25.94543279	21.6	6.2	16985.3	6.1	2.33	-24.3	0.84	2.82
7	22.32452077	71.7611103	3615	2018	cotton	3.97	88.7	139.3	1.49	4	16.8	42.1	0.29	15.28104311	31.53902357	23.4	10.8	23485.9	3.67	0.74	-7.55	0.4	13.37
8	22.30148127	71.79380702	3547	2020	cotton	4.71	45.6	82.1	1.2	2	10	78.4	0.46	10.02023517	27.70803869	18.9	14.8	16719.9	6.99	1.45	-20.15	0.58	15.02
9	22.38387598	71.75533128	2519	2018	cotton	1.77	84.3	185.5	1.36	4	30.3	38.4	0.6	11.15264506	34.64294987	22.9	16	12338.2	6.71	1.54	-17.55	0.71	7.72
10	22.38797845	71.77633237	6635	2020	wheat	1.57	26.7	161.9	1.59	5	31.8	70.8	0.41	16.26637038	27.58900178	21.9	9.3	20980	3.95	2.08	-10.45	0.53	5.64
11	22.33079302	71.82037388	8527	2018	cotton	0.94	34.5	161.2	1.6	5	18.4	80.7	0.25	15.46153568	34.30231169	24.9	3	12728	5.36	2.48	-23.8	0.34	2.95
12	22.33409326	71.82358146	2291	2021	wheat	2.29	74.9	160.1	1.37	5	21.2	49.6	0.26	17.41368805	25.5652583	21.5	21.5	14313.1	7.12	1.44	-14.1	0.4	9.41
13	22.38327618	71.73784492	6925	2022	cotton	4.58	87.6	122.5	1.29	5	8.6	21.8	0.71	10.61776137	37.2127397	23.9	10.6	17879.1	5.07	1.31	-14.75	0.84	16.33
14	22.36226897	71.86544604	1750	2018	wheat	3.67	71	101.4	1.13	2	5.2	96.8	0.38	17.39207138	36.87716246	27.1	33.8	21322.9	7.43	0.71	-3.35	0.48	15.71
15	22.3296302	71.79674583	4814	2018	cotton	1.47	87.7	120.5	1.14	1	19.4	119.6	0.53	16.12029572	28.20736567	22.2	24.8	13149.6	7.66	1.57	-13.5	0.65	6.09
