crop_name	adm_id	crop_area	crop_area_percentage
maize	IN-06-2058	43.3	1.587
maize	IN-06-0031	55.5	1
maize	IN-06-2006	156	4.677
maize	IN-06-1071	8.8	0.234
maize	IN-06-1081	264.7	5.58
maize	IN-06-0008	18.3	0.199
maize	IN-06-1060	82.2	1.515
maize	IN-06-0040	722.3	7.174
maize	IN-06-0027	599.5	13.426
maize	IN-06-0502	89.8	3.243
maize	IN-06-1082	74	2.296
maize	IN-06-0016	1533.7	17.682
maize	IN-06-0009	849.1	7.186
maize	IN-06-0014	589.9	8.08
maize	IN-06-0025	407.7	15.168
maize	IN-06-0032	133.4	1.903
maize	IN-06-0033	93.7	1.149
maize	IN-06-1057	20.8	0.362
maize	IN-06-0036	103.9	1.392
maize	IN-06-0024	207.4	3.25
maize	IN-06-0022	528.5	11.567
maize	IN-06-1058	60	1.795
maize	IN-06-0043	1043.6	15.585
maize	IN-06-0028	29.7	0.761
maize	IN-06-0007	849.6	16.689
maize	IN-06-0034	76.9	2.234
maize	IN-06-1061	1327	26.271
maize	IN-06-0012	223.9	2.983
maize	IN-06-0026	414.8	8.308
maize	IN-06-0010	540.6	10.525
maize	IN-06-1062	45.1	1.053
maize	IN-06-0017	825.6	11.637
maize	IN-06-0038	615.7	7.253
maize	IN-06-0041	119.2	1.933
maize	IN-06-0029	35	0.722
maize	IN-06-0018	1452.6	23.084
maize	IN-06-0013	409.3	3.984
maize	IN-06-0020	1757.8	23.378
maize	IN-06-0037	215.9	3.286
maize	IN-06-0011	826.4	9.436
maize	IN-06-0021	183.8	3.237
maize	IN-06-0042	42.9	1.24
maize	IN-06-1063	404.8	6.125
maize	IN-06-0023	1068.1	10.372
maize	IN-06-0019	439.5	9.207
maize	IN-06-2007	91.9	1.594
maize	IN-06-0015	1498.4	29.69
maize	IN-06-0030	32.8	0.538
maize	IN-06-1064	359.2	7.851
maize	IN-06-0039	364.4	4.982
maize	IN-06-0035	301.5	3.759
maize	IN-12-0194	97.9	2.633
maize	IN-12-1028	145.8	6.262
maize	IN-12-2026	170.1	7.016
maize	IN-12-1040	113	4.592
maize	IN-01-0052	364.2	1.875
maize	IN-08-0719	4.3	0.067
maize	IN-12-1031	447.5	22.177
maize	IN-12-0224	425.3	10.088
maize	IN-12-0200	67.1	1.576
maize	IN-12-0233	28	0.565
maize	IN-08-0702	5.8	0.089
maize	IN-12-0220	688.4	22.993
maize	IN-12-1034	4.3	0.128
maize	IN-12-0215	998.2	22.438
maize	IN-12-0236	177.5	4.619
maize	IN-08-0729	44.5	0.762
maize	IN-12-0199	85.9	2.085
maize	IN-14-0002	10.5	0.194
maize	IN-12-0223	75.6	2.716
maize	IN-12-1044	117.4	11.562
maize	IN-08-0714	0.3	0.011
maize	IN-12-0205	261.9	5.685
maize	IN-14-0004	10.6	0.191
maize	IN-12-0192	237.1	6.729
maize	IN-12-1036	370.2	14.512
maize	IN-12-1037	758.2	23.767
maize	IN-01-0054	59.5	0.396
maize	IN-01-0053	134.3	0.875
maize	IN-08-0703	1.9	0.05
maize	IN-08-0730	0.1	0.002
maize	IN-12-0222	33.3	1.31
maize	IN-14-1056	6.6	0.161
maize	IN-12-0231	87.6	3.26
maize	IN-14-0001	26.6	1.157
maize	IN-01-0046	63.3	0.49
maize	IN-12-0198	293.1	12.09
maize	IN-12-0209	992.4	23.821
maize	IN-08-0720	5	0.12
maize	IN-12-1038	27.6	1.947
maize	IN-12-0219	904.1	26.726
maize	IN-12-0232	32.8	0.825
maize	IN-12-0221	19.6	0.589
maize	IN-01-0049	929.3	8.154
maize	IN-12-0214	351	9.013
maize	IN-12-0229	371.5	6.207
maize	IN-19-0654	0	0.001
maize	IN-08-0716	0.3	0.018
maize	IN-12-0213	440.4	9.653
maize	IN-14-1066	3.2	0.054
maize	IN-12-0218	174.7	4.331
maize	IN-12-0211	864.7	17.212
maize	IN-12-1041	376.9	18.04
maize	IN-12-0547	346.2	11.552
maize	IN-12-0548	458.1	14.515
maize	IN-12-2013	139.5	7.118
maize	IN-12-1042	360	20.133
maize	IN-08-0707	0.6	0.007
maize	IN-12-0230	201.8	2.626
maize	IN-08-0725	0.9	0.031
maize	IN-19-0659	0.3	0.014
maize	IN-14-2039	17.9	0.352
maize	IN-14-1067	0.7	0.01
maize	IN-14-1065	10.9	0.165
maize	IN-19-0655	2.3	0.103
maize	IN-19-0656	0.1	0.002
maize	IN-01-0048	259.7	2.967
maize	IN-01-0051	733.8	4.212
maize	IN-12-1029	2.1	0.071
maize	IN-12-0212	1115.3	22.094
maize	IN-12-0225	204.4	8.086
maize	IN-12-0533	478	14.634
maize	IN-12-0197	631.2	23.053
maize	IN-19-0657	3.8	0.108
maize	IN-08-0722	1.9	0.032
maize	IN-12-0195	78.4	2.345
maize	IN-12-0530	465.9	26.823
