crop_name	adm_id	latitude	longitude	region_area	harvest_year	yield	production	harvest_area	awc	bulk_density	drainage_class	ssm	rsm	ndvi	tmin	tmax	prec	rad	tavg	et0	vpd	cwb	fpar	crop_area	crop_area_percentage
maize	IN-14-0001	21.36836	81.32449	2296	2003	1	290	290	10.71	1.592	4	5.882149701	336.5338473	0.389238095	21.22256986	31.77241096	5.284739726	17790381.66	26.31049041	4.53130411	30.17185479	0.753435616	31.20386111	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2004	1.227	270	220	10.71	1.592	4	5.707117486	305.1792268	0.418595238	20.6181694	31.61170765	3.344221311	18922330.36	25.8236612	4.625385246	28.94319945	-1.281163934	35.47261111	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2005	1.227	270	220	10.71	1.592	4	5.333435616	302.789326	0.415073171	20.93181644	31.7563863	3.619353425	18517276.13	26.12235068	4.574084932	30.28988219	-0.954731507	33.44861111	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2006	0.893	250	280	10.71	1.592	4	5.665794521	303.6251178	0.405634146	20.92630137	31.76526849	3.218484932	18361220.64	26.08085753	4.514621918	28.45175616	-1.296136986	33.33405556	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2007	1.194	370	310	10.71	1.592	4	5.905728767	314.3206027	0.40145	20.80652603	31.68805205	4.058835616	18428097.23	25.96124932	4.486358904	28.65353151	-0.427523288	32.91472222	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2008	1.038	270	260	10.71	1.592	4	5.854967123	312.4552822	0.426615385	20.7253388	31.69723497	3.529415301	18276525.82	25.92594536	4.48876776	29.25745355	-0.959352459	34.53841667	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2009	0.833	250	300	10.71	1.592	4	5.111654795	297.7141068	0.3731	21.53719178	32.94409863	3.388449315	18995693.2	27.01172877	4.792194521	33.72725753	-1.403745205	32.95422222	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2010	1.5	600	400	10.71	1.592	4	5.394479452	307.2582329	0.419615385	21.78257808	32.40080548	3.680734247	18029777.9	26.82187397	4.648769863	31.03487123	-0.968035616	34.95725	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2011	1.2	180	150	10.71	1.592	4	5.641528767	307.9511288	0.431425	20.59107945	31.61435068	3.457753425	18389686.77	25.73667397	4.449090411	28.31615616	-0.991336986	35.75005556	26.6	1.157
maize	IN-14-0001	21.36836	81.32449	2296	2012	1.583	190	120	10.71	1.592	4	5.718346995	316.7824945	0.403228571	20.93920492	31.67324044	3.672150273	18169916.87	26.01398907	4.503079235	29.69076503	-0.830928962	34.36872222	26.6	1.157
