crop_name	adm_id	awc	bulk_density	drainage_class
maize	IN-06-2058	14.56	1.559	4
maize	IN-06-0031	14.138	1.554	4
maize	IN-06-2006	13.776	1.482	4
maize	IN-06-1071	10.771	1.574	4
maize	IN-06-1081	14.219	1.572	4
maize	IN-06-0008	14.514	1.542	4
maize	IN-06-1060	14.394	1.532	4
maize	IN-06-0040	14.321	1.518	5
maize	IN-06-0027	13.461	1.51	5
maize	IN-06-0502	14.512	1.545	4
maize	IN-06-1082	14.614	1.539	4
maize	IN-06-0016	13.6	1.575	5
maize	IN-06-0009	14.472	1.534	4
maize	IN-06-0014	14.375	1.566	4
maize	IN-06-0025	12.958	1.596	5
maize	IN-06-0032	14.49	1.546	4
maize	IN-06-0033	14.384	1.525	5
maize	IN-06-1057	14.255	1.571	4
maize	IN-06-0036	14.511	1.551	4
maize	IN-06-0024	14.404	1.524	4
maize	IN-06-0022	13.57	1.492	5
maize	IN-06-1058	14.793	1.586	4
maize	IN-06-0043	14.804	1.587	4
maize	IN-06-0028	14.432	1.538	4
maize	IN-06-0007	14.628	1.567	4
maize	IN-06-0034	15.29	1.581	4
maize	IN-06-1061	13.924	1.626	4
maize	IN-06-0012	14.56	1.559	4
maize	IN-06-0026	13.538	1.497	5
maize	IN-06-0010	14.823	1.591	4
maize	IN-06-1062	12.46	1.539	5
maize	IN-06-0017	13.032	1.619	5
maize	IN-06-0038	14.544	1.552	4
maize	IN-06-0041	14.525	1.546	4
maize	IN-06-0029	14.346	1.581	4
maize	IN-06-0018	13.077	1.604	5
maize	IN-06-0013	14.312	1.567	4
maize	IN-06-0020	12.929	1.631	5
maize	IN-06-0037	14.504	1.547	4
maize	IN-06-0011	14.549	1.555	4
maize	IN-06-0021	13.316	1.657	4
maize	IN-06-0042	14.56	1.559	4
maize	IN-06-1063	14.119	1.526	4
maize	IN-06-0023	13.187	1.593	5
maize	IN-06-0019	12.554	1.61	4
maize	IN-06-2007	10.783	1.531	4
maize	IN-06-0015	12.915	1.621	5
maize	IN-06-0030	14.56	1.559	4
maize	IN-06-1064	13.562	1.661	4
maize	IN-06-0039	14.519	1.55	4
maize	IN-06-0035	14.497	1.549	4
maize	IN-12-0194	11.335	1.551	5
maize	IN-12-1028	15.569	1.495	5
maize	IN-12-2026	15.569	1.495	5
