crop_name	adm_id	crop_area	crop_area_percentage
wheat	IN-06-2058	1039.3	38.054
wheat	IN-06-0031	1445.2	26.044
wheat	IN-06-2006	98.3	2.948
wheat	IN-06-1071	13	0.345
wheat	IN-06-1081	2886.4	60.856
wheat	IN-06-0008	102	1.104
wheat	IN-06-1060	681.7	12.565
wheat	IN-06-0040	1486.9	14.768
wheat	IN-06-0027	2712.5	60.751
wheat	IN-06-0502	1529.8	55.248
wheat	IN-06-1082	219	6.791
wheat	IN-06-0016	3643.5	42.005
wheat	IN-06-0009	1973.5	16.702
wheat	IN-06-0014	3008.2	41.202
wheat	IN-06-0025	1321	49.145
wheat	IN-06-0032	2542.4	36.263
wheat	IN-06-0033	2758.7	33.85
wheat	IN-06-1057	29.8	0.519
wheat	IN-06-0036	1269.9	17.002
wheat	IN-06-0024	3285.1	51.467
wheat	IN-06-0022	1681.6	36.804
wheat	IN-06-1058	982.1	29.378
wheat	IN-06-0043	3000	44.803
wheat	IN-06-0028	1929	49.385
wheat	IN-06-0007	2273	44.646
wheat	IN-06-0034	520.4	15.124
wheat	IN-06-1061	1815.5	35.943
wheat	IN-06-0012	446.4	5.947
wheat	IN-06-0026	2222.4	44.51
wheat	IN-06-0010	1814.7	35.333
wheat	IN-06-1062	708.2	16.52
wheat	IN-06-0017	2009.5	28.323
wheat	IN-06-0038	3529.6	41.579
wheat	IN-06-0041	3169.2	51.389
wheat	IN-06-0029	1967.6	40.551
wheat	IN-06-0018	1837.8	29.203
wheat	IN-06-0013	4987.5	48.55
wheat	IN-06-0020	3028.3	40.276
wheat	IN-06-0037	3026.6	46.06
wheat	IN-06-0011	2055.7	23.472
wheat	IN-06-0021	262.6	4.625
wheat	IN-06-0042	2121.6	61.282
wheat	IN-06-1063	1571.5	23.778
wheat	IN-06-0023	3862.7	37.509
wheat	IN-06-0019	714.8	14.977
wheat	IN-06-2007	405.7	7.039
wheat	IN-06-0015	2673.4	52.971
wheat	IN-06-0030	3751.5	61.531
wheat	IN-06-1064	382.3	8.356
wheat	IN-06-0039	5385.2	73.639
wheat	IN-06-0035	2012.7	25.093
wheat	IN-12-0194	2487.8	66.93
wheat	IN-12-1028	342.4	14.71
wheat	IN-12-2026	609.7	25.154
wheat	IN-12-1040	436.6	17.747
wheat	IN-01-0052	118.1	0.608
wheat	IN-08-0719	4.2	0.066
wheat	IN-12-1031	867.5	42.986
wheat	IN-12-0224	1054.9	25.021
wheat	IN-12-0200	1632.8	38.365
wheat	IN-12-0233	1059	21.419
wheat	IN-08-0702	5.1	0.078
wheat	IN-12-0220	1014.5	33.885
wheat	IN-12-1034	273.9	8.198
