crop_name	adm_id	awc	bulk_density	drainage_class
wheat	IN-06-2058	14.56	1.559	4
wheat	IN-06-0031	14.453	1.558	4
wheat	IN-06-2006	14.368	1.511	4
wheat	IN-06-1071	10.89	1.578	4
wheat	IN-06-1081	14.477	1.562	4
wheat	IN-06-0008	14.544	1.553	4
wheat	IN-06-1060	14.426	1.537	4
wheat	IN-06-0040	14.344	1.522	5
wheat	IN-06-0027	13.476	1.508	5
wheat	IN-06-0502	14.485	1.533	4
wheat	IN-06-1082	14.74	1.551	4
wheat	IN-06-0016	13.516	1.58	5
wheat	IN-06-0009	14.465	1.528	4
wheat	IN-06-0014	14.312	1.569	4
wheat	IN-06-0025	12.985	1.591	5
wheat	IN-06-0032	14.522	1.552	4
wheat	IN-06-0033	14.505	1.548	4
wheat	IN-06-1057	13.956	1.583	4
wheat	IN-06-0036	14.567	1.559	4
wheat	IN-06-0024	14.379	1.529	4
wheat	IN-06-0022	13.561	1.493	5
wheat	IN-06-1058	14.833	1.592	4
wheat	IN-06-0043	14.814	1.589	4
wheat	IN-06-0028	14.543	1.556	4
wheat	IN-06-0007	14.689	1.574	4
wheat	IN-06-0034	14.718	1.559	4
wheat	IN-06-1061	13.963	1.622	4
wheat	IN-06-0012	14.56	1.559	4
wheat	IN-06-0026	13.542	1.497	5
wheat	IN-06-0010	14.819	1.59	4
wheat	IN-06-1062	13.612	1.549	4
wheat	IN-06-0017	13.053	1.619	5
wheat	IN-06-0038	14.529	1.551	4
wheat	IN-06-0041	14.518	1.544	4
wheat	IN-06-0029	14.529	1.562	4
wheat	IN-06-0018	12.894	1.622	5
wheat	IN-06-0013	14.441	1.56	4
wheat	IN-06-0020	12.926	1.631	5
wheat	IN-06-0037	14.551	1.556	4
wheat	IN-06-0011	14.545	1.553	4
wheat	IN-06-0021	13.096	1.65	4
wheat	IN-06-0042	14.56	1.559	4
wheat	IN-06-1063	14.156	1.526	4
wheat	IN-06-0023	13.613	1.568	5
wheat	IN-06-0019	12.512	1.608	4
wheat	IN-06-2007	10.946	1.533	4
wheat	IN-06-0015	12.971	1.618	5
wheat	IN-06-0030	14.56	1.559	4
wheat	IN-06-1064	13.537	1.661	4
wheat	IN-06-0039	14.494	1.545	4
wheat	IN-06-0035	14.526	1.553	4
wheat	IN-12-0194	11.551	1.547	5
wheat	IN-12-1028	15.569	1.495	5
wheat	IN-12-2026	15.569	1.495	5
wheat	IN-12-1040	14.527	1.551	5
wheat	IN-01-0052	13.38	1.604	4
wheat	IN-08-0719	13.025	1.457	4
wheat	IN-12-1031	14.509	1.483	5
wheat	IN-12-0224	15.569	1.495	5
wheat	IN-12-0200	14.052	1.574	5
wheat	IN-12-0233	15.595	1.492	5
wheat	IN-08-0702	12.482	1.472	5
wheat	IN-12-0220	16.002	1.482	5
wheat	IN-12-1034	15.608	1.487	5
wheat	IN-12-0215	12.849	1.617	5
wheat	IN-12-0236	15.569	1.495	5
wheat	IN-08-0729	11.942	1.509	4
wheat	IN-12-0199	14.521	1.493	5
wheat	IN-14-0002	10.745	1.573	4
wheat	IN-12-0223	15.569	1.495	5
wheat	IN-12-1044	13.935	1.517	4
wheat	IN-08-0714	10.068	1.432	4
wheat	IN-12-0205	13.295	1.506	6
wheat	IN-14-0004	10.735	1.574	4
wheat	IN-12-0192	11.755	1.544	5
wheat	IN-12-1036	13.823	1.512	4
wheat	IN-12-1037	12.935	1.611	5
wheat	IN-01-0054	13.88	1.498	5
wheat	IN-01-0053	13.346	1.522	5
wheat	IN-08-0703	9.927	1.434	4
wheat	IN-08-0730	12.657	1.398	4
wheat	IN-12-0222	15.254	1.491	5
wheat	IN-14-1056	10.735	1.574	4
wheat	IN-12-0231	15.569	1.495	5
wheat	IN-14-0001	10.71	1.591	4
wheat	IN-01-0046	14.23	1.532	4
wheat	IN-12-0198	12.211	1.55	5
wheat	IN-12-0209	14.419	1.495	5
wheat	IN-08-0720	13.129	1.34	4
wheat	IN-12-1038	11.267	1.552	5
wheat	IN-12-0219	15.499	1.494	5
wheat	IN-12-0232	15.569	1.495	5
wheat	IN-12-0221	15.406	1.493	5
wheat	IN-01-0049	15.192	1.542	4
wheat	IN-12-0214	12.823	1.618	5
wheat	IN-12-0229	15.179	1.49	5
wheat	IN-19-0654	9.043	1.368	4
wheat	IN-08-0716	12.508	1.406	4
wheat	IN-12-0213	12.902	1.606	5
wheat	IN-14-1066	11.838	1.548	5
wheat	IN-12-0218	14.859	1.505	5
wheat	IN-12-0211	12.818	1.62	5
wheat	IN-12-1041	14.58	1.482	5
wheat	IN-12-0547	14.534	1.486	5
wheat	IN-12-0548	14.491	1.488	5
wheat	IN-12-2013	14.357	1.557	5
wheat	IN-12-1042	13.982	1.529	5
wheat	IN-08-0707	12.963	1.361	5
wheat	IN-12-0230	15.601	1.492	5
wheat	IN-08-0725	11.456	1.446	4
wheat	IN-19-0659	12.696	1.424	6
wheat	IN-14-2039	10.736	1.574	4
wheat	IN-14-1067	10.868	1.562	4
wheat	IN-14-1065	11.174	1.588	4
wheat	IN-19-0655	13.897	1.363	4
wheat	IN-19-0656	13.544	1.372	5
wheat	IN-01-0048	13.875	1.403	5
wheat	IN-01-0051	15.396	1.594	4
wheat	IN-12-1029	15.515	1.486	5
wheat	IN-12-0212	12.876	1.626	5
wheat	IN-12-0225	15.569	1.495	5
wheat	IN-12-0533	12.89	1.615	5
wheat	IN-12-0197	13.988	1.499	5
wheat	IN-19-0657	12.825	1.416	6
wheat	IN-08-0722	12.567	1.422	4
