crop_name	country_code	adm_id	season_name	planting_year	planting_date	harvest_year	harvest_date	yield	production	planted_area	harvest_area
wheat	IN	IN-14-0001				1990		0.736	13400		18200
wheat	IN	IN-14-0001				1991		0.645	11800		18300
wheat	IN	IN-14-0001				1992		0.626	10700		17100
wheat	IN	IN-14-0001				1993		0.712	12100		17000
wheat	IN	IN-14-0001				1994		0.811	14200		17500
wheat	IN	IN-14-0001				1995		0.698	12500		17900
wheat	IN	IN-14-0001				1996		0.798	13400		16800
wheat	IN	IN-14-0001				1997		0.385	6500		16900
wheat	IN	IN-14-0001				1998		0.64	10500		16400
wheat	IN	IN-14-0001				2000		0.677	9950		14700
wheat	IN	IN-14-0001				2001		0.702	12840		18290
wheat	IN	IN-14-0001				2002		0.783	14400		18400
wheat	IN	IN-14-0001				2003		0.77	15050		19550
wheat	IN	IN-14-0001				2004		0.605	11590		19160
wheat	IN	IN-14-0001				2005		0.605	11590		19160
wheat	IN	IN-14-0001				2006		0.754	14400		19090
wheat	IN	IN-14-0001				2007		0.963	19430		20170
wheat	IN	IN-14-0001				2008		0.956	18890		19750
wheat	IN	IN-14-0001				2009		0.943	23160		24550
wheat	IN	IN-14-0001				2010		0.985	26900		27300
wheat	IN	IN-14-0001				2011		1.095	7400		6760
wheat	IN	IN-14-0001				2012		1.125	7490		6660
wheat	IN	IN-14-0001				2013		1.133	7060		6230
wheat	IN	IN-14-0001				2014		1.159	7370		6360
wheat	IN	IN-14-0001				2015		1.321	8430		6380
wheat	IN	IN-14-0001				2016		1.429	10190		7130
wheat	IN	IN-14-0001				2017		1.023	6940		6780
wheat	IN	IN-14-0002				1990		1.2	2400		2000
wheat	IN	IN-14-0002				1991		1.364	3000		2200
wheat	IN	IN-14-0002				1992		1.25	2000		1600
wheat	IN	IN-14-0002				1993		1.444	2600		1800
wheat	IN	IN-14-0002				1994		1.5	2400		1600
wheat	IN	IN-14-0002				1995		1.563	2500		1600
wheat	IN	IN-14-0002				1996		1.65	3300		2000
wheat	IN	IN-14-0002				1997		1.571	2200		1400
wheat	IN	IN-14-0002				1998		1.6	3200		2000
wheat	IN	IN-14-0002				2000		1.931	1680		870
wheat	IN	IN-14-0002				2001		1.066	1130		1060
wheat	IN	IN-14-0002				2002		1.928	2140		1110
